Protein1,Protein2,Score
PVALB,BDNF,0.776
PVALB,VIP,0.79
PVALB,SLC32A1,0.812
PVALB,GAD2,0.835
PVALB,SST,0.937
PVALB,CALB1,0.964
PVALB,GAD1,0.968
SLC32A1,SST,0.717
SLC32A1,SYN2,0.806
SLC32A1,SNAP25,0.838
SLC32A1,GAD1,0.977
SLC32A1,GAD2,0.987
SRGN,CD44,0.966
VGF,SCG2,0.73
VGF,BDNF,0.807
SNAP25,SH3GL2,0.725
SNAP25,GAD1,0.773
SNAP25,NEFL,0.808
SNAP25,GAD2,0.895
SNAP25,SYN2,0.921
CHI3L1,NEFL,0.737
TLR2,CD163,0.835
TLR2,S100A8,0.858
TLR2,S100A9,0.861
TLR2,CD44,0.874
TLR2,CXCL1,0.879
NMU,GNG2,0.931
CALB1,GAD2,0.726
CALB1,GAD1,0.873
CALB1,SST,0.882
CDH13,CDH8,0.757
TNFRSF10B,TNFRSF10D,0.978
CRH,TAC1,0.733
CRH,ADCYAP1,0.794
CRH,BDNF,0.818
CRH,SST,0.873
CRH,VIP,0.922
CRH,GNG2,0.942
KHDRBS2,RBM3,0.705
SST,BDNF,0.723
SST,GAD2,0.749
SST,GNG2,0.817
SST,GAD1,0.873
SST,VIP,0.941
SST,TAC1,0.968
SCG5,SCG2,0.865
SCG5,CHGB,0.893
HSPB3,HSPA1A,0.771
SCG2,CHGB,0.986
C1QB,CD163,0.783
C1QB,VSIG4,0.961
C1QB,C4B,0.969
C1QB,C4A,0.973
C1QB,C1QC,0.999
TAC1,ADCYAP1,0.722
TAC1,BDNF,0.84
TAC1,VIP,0.973
TAC1,TAC3,0.998
GNG2,ADCYAP1,0.901
GAD1,GABRA1,0.774
GAD1,GAD2,0.968
CD163,MS4A6A,0.873
CD163,VSIG4,0.938
VIP,ADCYAP1,0.732
VIP,CHGB,0.757
S100A8,CD44,0.887
S100A8,S100A12,0.995
S100A8,S100A9,0.999
S100A12,S100A9,0.94
C1QC,VSIG4,0.943
C1QC,C4B,0.967
C1QC,C4A,0.972
GAD2,BDNF,0.739
GABRA1,GABRG2,0.998
C4A,C4B,0.999
